run,model_size,active,epoch,feature,dim,target,source_col,provenance,unit,alpha,cv_r2,train_r2,train_rmse,train_mae,train_base_mae,val_r2,val_rmse,val_mae,val_base_mae,test_r2,test_rmse,test_mae,test_base_mae
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,leaf_len_max,leaf_len_max,ind,len,100.0,0.13750855972508563,0.2063282724588419,0.030148394790738844,0.02392105146982676,0.026842416723487347,0.17415139996496143,0.04040034136396219,0.03209086238951091,0.035655482503278726,0.1948689049500656,0.04100738111346159,0.032905542215121465,0.03691240678923175
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,waviness,wav_mean,ind,-,10000.0,-0.0027838995179428673,0.010746650974687966,0.00083829636175565,0.0006677292605793782,0.0006710800803221519,0.0015791671416317543,0.0008584090183446514,0.0006791676647249607,0.0006799741940323349,-0.005946255233601816,0.0008351156270663321,0.0006619946431299946,0.0006591118176169432
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,height,stem_length,6.4,gen. units,10.0,0.9462064315836487,0.9533785953646412,0.03922219628723331,0.03110507950036133,0.14503408095082485,0.9656900217448712,0.04545908432589594,0.03591571069518212,0.202237677094102,0.9638704511595487,0.04480463898526405,0.03532194889222479,0.19169140003246896
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,leaf_count,n_leaves,6.4,leaves,10.0,0.9481359128143627,0.9549839486889877,0.7659657559260361,0.6059529131934757,2.889299918367347,0.9672267068001751,0.8824750590711917,0.688898615943061,4.0307451428571435,0.9647013122992462,0.8823474093645073,0.7007410774230957,3.826889396825397
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,leaf_angle,branch_mean,6.4,deg,10.0,0.855636523016015,0.8773767261018313,0.017146318438490144,0.013434741311568521,0.0361059712492589,0.8999109755476216,0.023698698610126544,0.0158149093146799,0.052109371951762885,0.9120283758017345,0.01982835060064484,0.015304109068348611,0.04945280923269705
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,biomass,biomass,6.4,leaves x len,10.0,0.950305696319791,0.9567919928792237,0.576043120125151,0.4572708348648221,2.2090249447543804,0.9689250743008938,0.6581271267964997,0.5152942705899287,3.0771276218370383,0.9663123147814038,0.660520884419156,0.5233823519819696,2.921285803946328
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,leaf_angle_roll,roll_mean,alt,deg,10.0,0.7020246789777481,0.7387885636460064,11.580236185294112,9.204337740721046,18.04437372446335,0.793479347482456,14.17652781732422,10.997861514840682,25.64597842490313,0.7959117481336507,13.798923674013842,10.972728246529531,24.795713835422266
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,leaf_len_mean,leaf_len_mean,ind,len,100.0,0.1963700751629033,0.2681489957129939,0.011612316558126744,0.009226085009219169,0.01072197933581821,0.27766322054597803,0.015412963279987419,0.012408070855319867,0.014457622499357229,0.2745767550593713,0.015489160744843208,0.012450578992512791,0.014659046604959682
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,leaf_len_max,leaf_len_max,ind,len,100.0,0.10739430953357723,0.17229970480990808,0.030787916053277537,0.024499177164613035,0.026842416723487347,0.13270768794377186,0.0414016418954057,0.03293305571219564,0.035655482503278726,0.14568351459544748,0.04224138292461728,0.033861189967563404,0.03691240678923175
e2_pcrgbdt,base,"rgb,depth,pc,text",525,cls,768,waviness,wav_mean,ind,-,10000.0,-0.003611848230609205,0.010018597315351263,0.0008386047824861004,0.0006675961006914139,0.0006710800803221519,-0.0021390001775041245,0.0008600059112853635,0.0006797261145219776,0.0006799741940323349,-5.3019873408999274e-05,0.0008326658131791159,0.0006605064899942632,0.0006591118176169432
